# PROVISIONAL — verify against ingested FastF1 data before relying on it.
# Constructor-level 2026 regulation context that FastF1 results do not carry.
# `constructor_key` is a lowercase-normalized team name; join is done case-insensitively
# and is validated in features/regs2026.py against the constructor_ids actually seen.
# pu_status / team_status flag 2026 discontinuities (the "regulation reset" signal).
constructor_key,power_unit,pu_status,team_status
red_bull,rbpt_ford,new_manufacturer,continuing
rb,rbpt_ford,new_manufacturer,continuing
ferrari,ferrari,continuing,continuing
haas,ferrari,continuing,continuing
mclaren,mercedes,continuing,continuing
mercedes,mercedes,continuing,continuing
williams,mercedes,continuing,continuing
alpine,mercedes,supplier_change,continuing
aston_martin,honda,supplier_change,continuing
audi,audi,new_manufacturer,rebranded
cadillac,ferrari,customer,new_team
